data_extracao;linha;sentido;numero_sequencia;tipo;nome;endereco_logradouro
2020-08-02 01:58:38.796502;756  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERM.CENTRO PCA PEREIRA PAROBE;PCA PEREIRA PAROBE
2020-08-02 01:58:38.796502;727  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERM.CENTRO PCA PEREIRA PAROBE;PCA PEREIRA PAROBE
2020-08-02 01:58:38.796502;T39  ;NORTESUL;1;TERMINAL/PARADA;TERMINAL NORTE AV POLONIA     ;POLONIA                              
2020-08-02 01:58:38.796502;A131 ;TERMINALBAIRRO;99999;TERMINAL/PARADA;TERM. EDGAR P CASTRO/B VITORIA;EDGAR PIRES DE CASTRO                
2020-08-02 01:58:38.796502;268  ;CENTROBAIRRO;99999;TERMINAL/PARADA;TER.BAIRRO AV.BEIRA RIO B.NOVO;AV BEIRA RIO
2020-08-02 01:58:38.796502;A841 ;TERMINALBAIRRO;1;TERMINAL/PARADA;TERMINAL RUA MAJOR TITO       ;R MAJOR TITO
2020-08-02 01:58:38.796502;3944 ;TERMINALBAIRRO;99999;TERMINAL/PARADA;TERM. JAIME LINO/OSCAR PRATES ;ESTR AFONSO LOURENCO MARIANTE
2020-08-02 01:58:38.796502;495  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL PEREIRA PAROBE       ;PEREIRA PAROBE                       
2020-08-02 01:58:38.796502;E56  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERM.CENTRO PCA PEREIRA PAROBE;PCA PEREIRA PAROBE
2020-08-02 01:58:38.796502;6629 ;CENTROBAIRRO;1;TERMINAL/PARADA;TERM.CENTRO PCA PEREIRA PAROBE;PCA PEREIRA PAROBE
2020-08-02 01:58:38.796502;GT101;LESTENORTE;99999;TERMINAL/PARADA;TERMINAL TRIÂNGULO            ;ASSIS BRASIL                         
2020-08-02 01:58:38.796502;66139;CENTROBAIRRO;1;TERMINAL/PARADA;TERM.CENTRO PCA PEREIRA PAROBE;PCA PEREIRA PAROBE
